"Variable","Coeff.","Std. Err.","t-value","P>|t|"
"review_scores_cleanliness",11.232425608611738,1.4276354601465218,7.8678527692629086,0.000000000000003774758283725532
"review_scores_location",21.56460096619125,1.6411847213903943,13.139654960912596,0
"property_type",0.2364579937556025,0.006655864902985313,35.526261004718634,0
"bathrooms",8.018787729765215,0.6894024613641359,11.631504352186766,0
"accomodate",15.164546780622626,0.32356335843364736,46.867317900374665,0
"bedrooms",15.296408410699984,0.6373693550275231,23.999284386742204,0
"beds",-2.221827313477589,0.3657164061331016,-6.075273835729864,0.0000000012504428603676843
"neighbourhood",0.08298665740587866,0.003968873271735034,20.909374455687818,0
"Shared room",-29.680235095275325,3.89793807108133,-7.614342391807602,0.00000000000002708944180085382
"Hotel room",74.11197556848785,6.93593861688614,10.685212148224014,0
"France",7.669774485067229,1.3316434507735662,5.759630688388678,0.00000000849990944296053
"Argentine",-130.8441679730472,1.4555008520748631,-89.89631836115015,0
"USA",-32.8953927684033,1.346300289683607,-24.43391940154304,0
"Australie",-56.84061398414018,1.6336601972002294,-34.79341302527524,0
"Espagne",-57.62569464413178,2.5655711658908404,-22.4611561785005,0
"Bresil",-112.94346732609938,1.4686179488049045,-76.90459415807067,0
"Thaïlande",-121.83877190188687,1.740778021854596,-69.99098700251389,0
"Japon",-70.98105874006201,2.384752544801171,-29.764538419217857,0
"Intercept",-106.96978591297136,9.99711785720533,-10.700062502101432,0
