"Variable","Exponent","Coeff.","Std. Err.","t-value","P>|t|"
"review_scores_cleanliness",1,-72.55041584497523,12.920493520618523,-5.61514277525075,0.000000019787974370188977
"review_scores_location",1,-97.40409156056464,16.944213047020597,-5.748516693591254,0.000000009077310014760087
"property_type",1,0.450844224632956,0.013835555491811733,32.58591423378542,0
"bathrooms",1,22.222555108806358,1.2930738410664318,17.185836108538734,0
"accomodate",1,26.25986078844985,0.6251279254108819,42.00717920446421,0
"bedrooms",1,19.786416761003284,0.8438493824973559,23.447806174184507,0
"beds",1,-1.678777447698305,0.4854329578447675,-3.4583095782201654,0.0005442195844862496
"neighbourhood",1,0.15121289433180204,0.005618278324405735,26.91445414424113,0
"Shared room",1,-3.838478364846559,3.861688801869835,-0.9939895630605871,0.3202347883242105
"Hotel room",1,78.44299784604452,6.754968964946845,11.612636305674247,0
"France",1,4.454865802612041,1.302901288447929,3.4191890376583056,0.0006287931373882838
"Argentine",1,-127.8441130928242,1.4566546044832298,-87.76556412161882,0
"USA",1,-33.05395153752127,1.3089059800474314,-25.253113700590994,0
"Australie",1,-56.319214136237676,1.586608020364494,-35.49661505133408,0
"Espagne",1,-59.53742400198787,2.4909024459417366,-23.901949311177674,0
"Bresil",1,-109.93654218085854,1.4903826643981284,-73.76397002393675,0
"Thaïlande",1,-117.84140206416296,1.7025894609219436,-69.21304563952395,0
"Japon",1,-65.78126575031712,2.323993742703969,-28.30526801409566,0
"review_scores_cleanliness",2,9.70831670009624,1.5008296137365362,6.4686334885983205,0.000000000100189856411248
"review_scores_location",2,13.39187564322389,1.9405633076832576,6.9010248674709755,0.000000000005250244683452365
"property_type",2,-0.00042586679010264586,0.00002175493090538231,-19.575644342648026,0
"bathrooms",2,-1.9687377893194793,0.17967809763212209,-10.957027123864187,0
"accomodate",2,-1.2288453780947886,0.047932478159507096,-25.63700908610449,0
"bedrooms",2,-0.7725593538173363,0.0660623361683484,-11.694399541799473,0
"beds",2,-0.005479145658724458,0.02422102999356938,-0.22621439551411135,0.8210359896016892
"neighbourhood",2,-0.00002506970970162272,0.0000013801883479399776,-18.16397721299482,0
"Shared room",2,0,,,
"Hotel room",2,0,,,
"France",2,0,,,
"Argentine",2,0,,,
"USA",2,0,,,
"Australie",2,0,,,
"Espagne",2,0,,,
"Bresil",2,0,,,
"Thaïlande",2,0,,,
"Japon",2,0,,,
"Intercept",0,258.5868473295889,44.401237878895145,5.823865722727986,0.000000005800131930300267
