"neighbourhood","Mean(price)"
"1st Arrondissement",98.93333333333334
"20 de Febrero",35.187
"2146 DARREGUEYRA",48.76
"2nd Arrondissement",199.87692307692313
"3rd Arrondissement",112
"4th Street Corridor",119.33333333333333
"5th Arrondissement",359.52
"6",19.811333333333334
"66",107.25
"6th Arrondissement",134.4
"A",23.638
"Abbey Wood",123.1285
"Abbotsford",128.85768421052632
"Abbotsford/Wareemba",38.06
"Aberfeldy Village",197.1032
"Abolição",61.875
"Abule Egba",49.653999999999996
"Achrafieh",133.28
"Acton",143.99862311557794
"Adachi District",99.65016393442622
"Adams Hill",162.65000000000003
"Adams Morgan",141.12
"Agay",11198.88
"Agencia Municipalsan Francisco Tutla",191
"Agronomía",24.513333333333335
"Aime-la-Plagne",266.56
"Aja",122.12199999999999
"Akasaka",231.9905
"Al Barsha South",237.534
"Al Kifaf",134.2
"Al Quoz 1",210.91766666666666
"Al Qusais Industrial Area 2",132.94777272727268
"Al Ras",134.2
"Alamitos Beach",168.07142857142856
"Alamitos Heights",228
"Albert Park",261.03777777777776
"Alberto Olmedo",32.51633333333333
"Alden Bridge",1473
"Aldersbrook",244.69133333333332
"Alexandria",307.6486315789474
"Algiers",142.5
"Algodoal",54.879
"Alhambra",148.300518134715
"Alizia Canyon",69.66666666666667
"Allerton",76.66666666666667
"Allston-Brighton",79
"Almagro",33.523836065573775
"Almenara",262.08
"Alondra Park",184.5
"Alphabet City",213.8290634920635
"Alphington",95.26533333333334
"Altadena",172.4578313253012
"Alto da Boa Vista",143.116875
"Alto de Pinheiros",171.02249999999998
"Altos de Búzios",247.5
"Alvear",63.8215
"Alésia",203.37099999999998
"Amberly",293
"Anaheim",146.5
"Anaheim Resort",189.89999999999998
"Anchieta",24.75
"Andaraí",33.6084375
"Anerley",167.3474
"Angel Park",289
"Anil",47.47448275862069
"Anita Garibaldi",33
"Annadale",132.5
"Annandale/Leichhardt",170.41995061728394
"Anthony",236.63933333333335
"Antibes",319.23333333333335
"Antonio Zupic 118",26.058
"Aoyama",124.86191666666666
"Arakawa District",95.3684
"Araras",90.75
"Arcadia",113.13513513513514
"Archway",238.69464864864867
"Arden Heights",199.5
"Aree",43.400203947368425
"Arlanza",235
"Arleta",94.5
"Arlington",122.5
"Arlington Heights",49.6
"Armadale",133.0562222222222
"Armenia",146.278
"Arncliffe",85.80800000000002
"Arnos Grove",152.6301333333333
"Arpoador ",14.85
"Arrochar",157
"Arrowbear Lake",130
"Art District",178.6190476190476
"Artarmon",124.56
"Artcraft Manor",188.8
"Artesia",122
"Arts District",71.51162790697674
"Aruana",32.67
"Arverne",167.3673469387755
"Asa Norte",99
"Asa Sul",46.2825
"Asakusa/Ueno",157.42937992125997
"Ashburton",115.33333333333333
"Ashfield",76.56036363636365
"Assembly Square",289
"Astoria",173.33348339483393
"Attiki",90
"Atwater Village",247.12195121951214
"Atwood",248
"Aubry at Alamitos Ridge",100
"Auburn",67.124
"Austerlitz",215.04
"Auteuil",215.22994152046786
"Avalon",359.78874074074093
"Avenida Corrientes",283.651
"Awbrey Butte",151
"Azusa",169.14634146341461
"B",20.801
"Bahria Town Phase 1",142.252
"Bairro Nova Califórnia",41.25
"Bal Harbour",896
"Balaclava/Ripponlea",172.37453846153846
"Baldwin Hills",253.03571428571428
"Baldwin Park",113.71428571428572
"Balgowlah",257.9285
"Balham",234.34302222222223
"Bali",128.02
"Ballpark distric",115
"Balmain/Birchgrove",257.6901538461538
"Balmoral",83.04
"Balneario Gaivotas",82.5
"Balneario Praia Seca",66.495
"Balneario Praia do Pernambuco",223.17428571428573
"Balneário Remanso",330
"Balvanera",32.70744215938306
"Balwyn",147.62666666666667
"Balwyn North",50.417142857142856
"Banana River Estates",150.975
"Bananeiras",61.655
"Bancroft",140
"Bancários",35.97
"Bang Kapi",24.408465753424657
"Bang Khae",32.43076923076923
"Bang Khen",27.18257142857143
"Bang Kho Laem",28.957627659574477
"Bang Khun Thian",50.3905
"Bang Na",35.66794736842105
"Bang Saen Ville",40.145
"Bang Sue",37.10699999999999
"Bangkok Noi",39.57507692307692
"Bangkok Yai",72.82158333333331
"Banglampoo",38.38542857142855
"Bangu",64.185
"Bankstown",57.51584615384614
"Barbariga",11198.88
"Barbican",233.1352222222222
