"property_type","Mean(price)","Mean(price) [Binned]"
"Barn",158.21356250000002,"Bin 3"
"Boat",428.01492957746467,"Bin 4"
"Bus",152.506,"Bin 3"
"Camper/RV",106.77614062500005,"Bin 2"
"Campsite",186.9115,"Bin 3"
"Casa particular",249.33634177215185,"Bin 4"
"Castle",580.1752307692308,"Bin 4"
"Cave",175.3865,"Bin 3"
"Dome",215.83658333333332,"Bin 4"
"Earthen home",221.09069565217388,"Bin 4"
"Entire bed and breakfast",132.2802,"Bin 3"
"Entire bungalow",204.86210236220464,"Bin 4"
"Entire cabin",181.92578804347815,"Bin 3"
"Entire chalet",170.66396153846156,"Bin 3"
"Entire condo",170.42931993446217,"Bin 3"
"Entire cottage",219.04360869565207,"Bin 4"
"Entire guest suite",138.5373345742204,"Bin 3"
"Entire guesthouse",137.57769214241918,"Bin 3"
"Entire home",340.8199034011769,"Bin 4"
"Entire home/apt",572.65125,"Bin 4"
"Entire loft",163.02613419233214,"Bin 3"
"Entire place",192.76446350364975,"Bin 3"
"Entire rental unit",174.8181369647642,"Bin 3"
"Entire resort",434,"Bin 4"
"Entire serviced apartment",213.1663440320961,"Bin 4"
"Entire townhouse",365.6528162118763,"Bin 4"
"Entire vacation home",144.92993962264148,"Bin 3"
"Entire villa",949.6050782190123,"Bin 4"
"Farm stay",262.8603619047619,"Bin 4"
"Floor",505.5,"Bin 4"
"Holiday park",362.608,"Bin 4"
"Houseboat",658.2667368421053,"Bin 4"
"Hut",177.05596875,"Bin 3"
"Island",335.322,"Bin 4"
"Lighthouse",121.4395,"Bin 3"
"Pension",98.63,"Bin 2"
"Private room",132.71878857142855,"Bin 3"
"Private room in barn",40.6148,"Bin 1"
"Private room in bed and breakfast",224.62230099502463,"Bin 4"
"Private room in boat",347.7914285714286,"Bin 4"
"Private room in bungalow",82.26024074074076,"Bin 2"
"Private room in cabin",74.5192,"Bin 2"
"Private room in camper/rv",51.176571428571435,"Bin 1"
"Private room in casa particular",66.94665032679734,"Bin 2"
"Private room in castle",62.0625,"Bin 1"
"Private room in chalet",32.85385714285714,"Bin 1"
"Private room in condo",92.5710631113181,"Bin 2"
"Private room in cottage",108.51,"Bin 2"
"Private room in dome",36.776,"Bin 1"
"Private room in earthen home",55.070833333333326,"Bin 1"
"Private room in farm stay",80.63744444444444,"Bin 2"
"Private room in floor",10.23,"Bin 1"
"Private room in guest suite",112.51910841423934,"Bin 2"
"Private room in guesthouse",81.76582075471696,"Bin 2"
"Private room in home",75.35208475203595,"Bin 2"
"Private room in hostel",159.01746975088977,"Bin 3"
"Private room in houseboat",109.76009090909092,"Bin 2"
"Private room in hut",87.50337037037039,"Bin 2"
"Private room in kezhan",89.12555555555556,"Bin 2"
"Private room in loft",106.92534751773047,"Bin 2"
