"price","bathrooms","accomodate","bedrooms","beds","Shared room","Hotel room","Australie","Argentine","Thaïlande","USA","Bresil","France","Japon","Espagne"
20.801,1,2,1,4,0,0,0,1,0,0,0,0,0,0
37.82,1,3,1,2,0,0,0,1,0,0,0,0,0,0
24.49,1,2,1,2,0,0,0,0,1,0,0,0,0,0
146,2,4,2,2,0,0,0,0,0,1,0,0,0,0
105.4,2,4,2,2,0,0,0,0,1,0,0,0,0,0
363,4,7,3,4,0,0,0,0,0,0,1,0,0,0
112.515,2,9,3,6,0,0,0,1,0,0,0,0,0,0
118.096,1,1,1,1,0,0,0,0,0,0,0,0,0,0
51.615,2,4,2,0,0,0,0,0,1,0,0,0,0,0
43.9,1,4,1,4,0,0,0,1,0,0,0,0,0,0
51.15,2,4,2,2,0,0,0,0,1,0,0,0,0,0
44.33,2,4,2,2,0,0,0,0,1,0,0,0,0,0
268.95,1.5,4,1,2,0,0,0,0,0,0,1,0,0,0
134.4,2,2,2,2,0,0,0,0,0,0,0,1,0,0
168,1,4,1,1,0,0,0,0,0,0,0,1,0,0
29.001,1,1,1,30,1,0,0,0,0,0,0,0,1,0
99,2,6,3,5,0,0,0,0,0,0,1,0,0,0
232.5,5,10,4,4,0,0,0,0,1,0,0,0,0,0
48.36,5,16,5,0,0,0,0,0,1,0,0,0,0,0
202.064,2,5,2,4,0,0,1,0,0,0,0,0,0,0
420,1,6,2,2,0,0,0,0,0,0,0,1,0,0
18.91,1,2,1,2,0,0,0,1,0,0,0,0,0,0
38,1,1,1,1,0,0,0,0,0,1,0,0,0,0
41.261,1.5,2,1,1,0,0,0,0,1,0,0,0,0,0
43.276,1,2,1,1,0,0,0,0,1,0,0,0,0,0
43.197,1,2,1,0,0,0,0,0,0,0,0,0,1,0
37.281,1.5,3,1,2,0,0,0,1,0,0,0,0,0,0
37.785,1,3,1,2,0,0,0,0,0,0,1,0,0,0
79.891,1,3,1,2,0,0,0,0,0,0,0,0,1,0
49.5,1,2,1,1,0,0,0,0,0,0,1,0,0,0
53.487,1,2,1,1,0,0,0,1,0,0,0,0,0,0
72.8,1,2,1,1,0,0,0,0,0,0,0,1,0,0
51.15,1,2,1,1,0,0,0,0,1,0,0,0,0,0
86.5,1,2,1,1,0,0,1,0,0,0,0,0,0,0
145.6,1,2,1,1,0,0,0,0,0,0,0,1,0,0
134.4,1,2,1,1,0,0,0,0,0,0,0,1,0,0
62,1,2,1,1,0,0,0,0,1,0,0,0,0,0
133.28,1,2,1,1,0,0,0,0,0,0,0,1,0,0
134.4,1,2,1,1,0,0,0,0,0,0,0,1,0,0
161.28,1,2,1,1,0,0,0,0,0,0,0,1,0,0
42.548,1,2,1,1,0,0,0,1,0,0,0,0,0,0
145.6,1,2,1,1,0,0,0,0,0,0,0,1,0,0
201.6,1,2,1,1,0,0,0,0,0,0,0,0,0,1
125.44,1,2,1,1,0,0,0,0,0,0,0,1,0,0
33.093,1,2,1,1,0,0,0,1,0,0,0,0,0,0
85.498,1,2,1,1,0,0,0,0,0,0,0,0,1,0
30.03,1,4,1,1,0,0,0,0,0,0,1,0,0,0
30.256,1,4,1,1,0,0,0,1,0,0,0,0,0,0
90.652,1,4,1,1,0,0,1,0,0,0,0,0,0,0
285.6,1,4,2,2,0,0,0,0,0,0,0,1,0,0
31.845,1,2,1,1,0,0,0,0,0,0,1,0,0,0
71.3,2,4,2,0,0,0,0,0,1,0,0,0,0,0
90,1,2,0,1,0,0,0,0,0,1,0,0,0,0
17.965,1,2,0,1,0,0,0,1,0,0,0,0,0,0
33.367,1,2,0,1,0,0,0,1,0,0,0,0,0,0
86.8,1,3,1,2,0,0,0,0,1,0,0,0,0,0
23.1,2,2,1,1,0,0,0,0,0,0,1,0,0,0
375.76,2.5,9,5,1,0,0,0,0,0,0,0,0,0,0
31.202,1,4,1,3,0,0,0,1,0,0,0,0,0,0
56.987,1,4,1,3,0,0,0,0,0,0,0,0,1,0
280,1,12,2,0,0,0,0,0,0,0,0,0,1,0
53.68,0.5,2,1,1,0,0,0,0,0,0,0,0,0,0
313.481,2,8,3,3,0,0,0,0,0,0,0,0,1,0
208,1,2,2,2,0,0,0,0,0,1,0,0,0,0
38.28,1,4,1,2,0,0,0,0,0,0,1,0,0,0
56.73,1,4,2,3,0,0,0,1,0,0,0,0,0,0
175.602,1,6,2,0,0,0,0,0,0,0,0,0,1,0
147.84,1,4,2,2,0,0,0,0,0,0,0,1,0,0
77.5,1,2,1,0,0,0,0,0,1,0,0,0,0,0
326.106,2,4,2,2,0,0,0,0,0,0,0,0,0,0
73.997,1,4,1,0,0,0,0,0,0,0,0,0,1,0
54.32,1,8,1,8,1,0,0,0,0,0,0,0,1,0
393.12,1,4,1,2,0,0,0,0,0,0,0,0,0,1
402.6,2,2,1,1,0,0,0,0,0,0,0,0,0,0
123,1,5,2,3,0,0,0,0,0,1,0,0,0,0
