"price","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","bathrooms","accomodate","bedrooms","beds","Shared room","Hotel room","France","Argentine","USA","Australie","Espagne","Bresil","Thaïlande","Japon"
174.72,5,5,5,5,5,5,1,6,1,2,0,0,1,0,0,0,0,0,0,0
34.784,5,5,5,5,5,4.95,1,2,1,2,0,0,0,1,0,0,0,0,0,0
267.058,5,5,5,5,5,5,1,5,3,3,0,0,0,0,0,0,0,0,0,0
134.2,5,5,5,5,5,5,1,5,3,3,0,0,0,0,0,0,0,0,0,0
55,4.92,4.96,4.84,5,4.96,4.96,1,3,1,1,0,0,0,0,1,0,0,0,0,0
84,5,4.8,5,5,5,4.8,1,2,0,1,0,0,0,0,1,0,0,0,0,0
211.68,5,5,5,5,4.75,4.75,1.5,8,2,4,0,0,1,0,0,0,0,0,0,0
109.76,5,4.67,5,4.67,4.67,5,1.5,3,1,1,0,0,1,0,0,0,0,0,0,0
94.55,5,5,5,5,5,5,2,3,1,1,0,0,0,1,0,0,0,0,0,0
92.281,5,4.95,4.95,5,5,4.95,3,4,2,3,0,0,0,1,0,0,0,0,0,0
161.04,5,5,4.92,4.77,5,5,1,4,1,2,0,0,0,0,0,0,0,0,0,0
206.908,5,5,5,5,5,4.95,1,4,2,2,0,0,0,0,0,1,0,0,0,0
33.764,5,5,5,5,5,5,1,4,1,1,0,0,0,1,0,0,0,0,0,0
147.62,5,5,5,5,5,5,1,4,1,1,0,0,0,0,0,0,0,0,0,0
186,5,5,5,5,5,5,1,4,1,1,0,0,0,0,1,0,0,0,0,0
55.681,5,5,5,5,5,5,1,4,1,1,0,0,0,1,0,0,0,0,0,0
89.6,5,4.67,5,5,5,4.67,1,4,1,1,0,0,1,0,0,0,0,0,0,0
168,5,5,5,5,5,5,1,4,1,1,0,0,1,0,0,0,0,0,0,0
213.378,5,5,4.5,5,5,5,1,4,1,1,0,0,0,0,0,0,0,0,0,0
277.794,4.93,4.93,5,4.86,4.93,4.64,3.5,9,4,8,0,0,0,0,0,0,0,0,0,0
327.448,5,5,3,5,4,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0
166.88,5,5,5,5,5,5,1,4,2,2,0,0,1,0,0,0,0,0,0,0
268.4,5,5,5,5,5,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0
241.56,5,5,5,5,5,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0
269.742,5,5,5,5,5,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0
45.384,5,5,5,5,5,5,1,4,2,2,0,0,0,1,0,0,0,0,0,0
127.49,5,5,5,5,5,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0
112.104,5,5,5,3,5,5,1,4,2,2,0,0,0,0,0,1,0,0,0,0
301.95,5,5,5,5,5,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0
107.952,5,5,4.86,4.57,5,4.71,1,4,2,2,0,0,0,0,0,1,0,0,0,0
160.16,5,5,5,5,5,5,1,4,2,2,0,0,1,0,0,0,0,0,0,0
230.72,5,5,5,4.63,5,4.75,1,4,2,2,0,0,1,0,0,0,0,0,0,0
169,5,5,4.93,5,5,4.73,1,4,2,2,0,0,0,0,1,0,0,0,0,0
36.875,5,5,5,5,5,5,1,4,2,2,0,0,0,1,0,0,0,0,0,0
134.4,3.5,5,5,3,3,5,1,4,2,2,0,0,1,0,0,0,0,0,0,0
202.642,5,5,5,5,5,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0
167.75,5,5,5,5,5,4.67,1,4,2,2,0,0,0,0,0,0,0,0,0,0
190.4,5,5,5,5,5,4.55,1,4,2,2,0,0,1,0,0,0,0,0,0,0
212.036,5,5,5,5,5,5,1,4,2,2,0,0,0,0,0,0,0,0,0,0
336,5,5,5,5,5,4.67,1,4,2,2,0,0,1,0,0,0,0,0,0,0
78.4,5,5,4.67,5,5,5,1,4,2,2,0,0,0,0,0,0,1,0,0,0
60.786,5,5,5,5,5,5,1.5,4,2,5,0,0,0,1,0,0,0,0,0,0
119,5,5,5,5,5,5,1,4,1,2,0,0,0,0,1,0,0,0,0,0
167.75,5,5,5,5,5,5,1,4,1,2,0,0,0,0,0,0,0,0,0,0
